"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,1487,1,1,1,0,0
"2",1,2,1255,4,2,6,1,0
"3",1,2,1385,4,3,4,6,1
"4",1,2,741,3,4,2,4,6
"5",3,1,2000,2,5,4,2,4
"6",1,2,1202,5,6,10,4,2
"7",1,1,1319,1,7,2,10,4
"8",1,2,697,2,8,13,2,10
"9",2,1,1021,4,9,6,13,2
"10",1,2,1299,2,10,1,6,13
"11",1,2,1822,4,11,11,1,6
"12",1,2,917,3,12,11,11,1
"13",2,1,1020,4,13,2,11,11
"14",1,1,1134,1,14,11,2,11
"15",1,2,1208,3,15,1,11,2
"16",1,2,860,2,16,4,1,11
"17",3,1,2000,3,17,13,4,1
"18",2,2,1251,1,18,1,13,4
"19",2,1,999,3,19,12,1,13
"20",1,2,945,3,20,9,12,1
