"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,2,1,6,0,0
"2",1,2,1882,1,2,9,6,0
"3",1,2,621,3,3,12,9,6
"4",1,2,609,3,4,1,12,9
"5",1,1,558,1,5,9,1,12
"6",1,2,923,3,6,9,9,1
"7",1,1,824,1,7,1,9,9
"8",1,2,910,5,8,14,1,9
"9",1,1,816,1,9,9,14,1
"10",1,2,728,3,10,9,9,14
"11",1,2,601,5,11,4,9,9
"12",1,1,772,1,12,9,4,9
"13",2,2,868,1,13,9,9,4
"14",1,1,727,1,14,4,9,9
"15",1,2,559,5,15,11,4,9
"16",1,2,641,2,16,8,11,4
"17",1,2,571,4,17,2,8,11
"18",1,2,589,2,18,3,2,8
"19",1,2,594,5,19,13,3,2
"20",1,2,623,3,20,15,13,3
