"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,365,1,1,1,0,0
"2",1,2,394,4,2,7,1,0
"3",1,2,621,2,3,13,7,1
"4",1,2,666,2,4,11,13,7
"5",1,2,839,3,5,11,11,13
"6",1,2,804,4,6,2,11,11
"7",1,2,737,3,7,10,2,11
"8",1,2,824,3,8,6,10,2
"9",1,1,810,1,9,2,6,10
"10",1,2,724,2,10,15,2,6
"11",1,2,696,2,11,14,15,2
"12",1,1,688,1,12,2,14,15
"13",1,1,899,1,13,15,2,14
"14",1,1,909,1,14,14,15,2
"15",1,2,653,4,15,3,14,15
"16",1,2,752,5,16,4,3,14
"17",1,2,722,5,17,4,4,3
"18",1,2,758,5,18,1,4,4
"19",2,1,889,5,19,3,1,4
"20",1,2,682,4,20,5,3,1
