"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,954,4,1,14,0,0
"2",1,2,456,1,2,13,14,0
"3",1,2,435,1,3,4,13,14
"4",1,2,665,3,4,7,4,13
"5",1,2,788,2,5,7,7,4
"6",1,2,641,5,6,11,7,7
"7",1,1,862,1,7,7,11,7
"8",2,1,1048,5,8,4,7,11
"9",1,1,1104,1,9,11,4,7
"10",1,2,919,4,10,2,11,4
"11",1,2,907,3,11,12,2,11
"12",2,1,1131,3,12,7,12,2
"13",1,1,1810,1,13,2,7,12
"14",2,1,1412,5,14,4,2,7
"15",2,2,903,1,15,7,4,2
"16",1,2,1134,5,16,10,7,4
"17",2,2,380,1,17,4,10,7
"18",1,1,1001,1,18,7,4,10
"19",1,2,1612,4,19,4,7,4
"20",2,2,1168,1,20,4,4,7
