"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,1636,4,1,3,0,0
"2",1,2,1061,4,2,14,3,0
"3",1,2,606,3,3,5,14,3
"4",1,2,594,4,4,13,5,14
"5",1,1,1133,1,5,14,13,5
"6",2,2,1672,1,6,5,14,13
"7",1,1,1168,1,7,13,5,14
"8",1,2,673,4,8,9,13,5
"9",1,2,846,4,9,12,9,13
"10",1,2,781,2,10,10,12,9
"11",1,2,694,5,11,5,10,12
"12",1,2,1145,3,12,3,5,10
"13",1,2,650,2,13,8,3,5
"14",3,1,2000,1,14,5,8,3
"15",1,1,1451,1,15,3,5,8
"16",1,2,518,4,16,2,3,5
"17",2,2,740,1,17,5,2,3
"18",2,2,1048,1,18,3,5,2
"19",1,2,1445,2,19,3,3,5
"20",1,1,1136,1,20,5,3,3
