"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,1328,1,1,10,0,0
"2",1,2,730,4,2,13,10,0
"3",1,2,880,5,3,6,13,10
"4",1,2,1173,3,4,2,6,13
"5",3,1,2000,5,5,12,2,6
"6",3,1,2000,4,6,1,12,2
"7",1,2,1128,5,7,9,1,12
"8",1,2,1315,5,8,9,9,1
"9",1,1,1866,1,9,1,9,9
"10",1,2,1610,5,10,7,1,9
"11",1,1,989,1,11,9,7,1
"12",1,2,1192,3,12,11,9,7
"13",1,2,1168,2,13,12,11,9
"14",1,2,1034,2,14,8,12,11
"15",1,2,977,5,15,14,8,12
"16",2,2,1248,1,16,12,14,8
"17",3,1,2000,1,17,8,12,14
"18",1,2,1174,4,18,3,8,12
"19",1,1,1810,1,19,12,3,8
"20",1,2,1462,4,20,7,12,3
