"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,2,1,3,0,0
"2",3,1,2000,4,2,8,3,0
"3",3,1,2000,1,3,14,8,3
"4",3,1,2000,4,4,5,14,8
"5",1,2,507,3,5,13,5,14
"6",1,2,704,5,6,6,13,5
"7",1,2,769,5,7,10,6,13
"8",1,2,761,4,8,10,10,6
"9",2,1,914,4,9,14,10,10
"10",2,2,697,1,10,10,14,10
"11",1,2,1907,5,11,4,10,14
"12",1,2,977,5,12,4,4,10
"13",1,2,1061,5,13,15,4,4
"14",1,2,724,2,14,2,15,4
"15",1,1,813,1,15,4,2,15
"16",1,1,1058,1,16,15,4,2
"17",1,2,1801,3,17,13,15,4
"18",1,2,959,5,18,9,13,15
"19",1,2,1039,2,19,3,9,13
"20",1,2,1057,4,20,12,3,9
