"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,1,1,13,0,0
"2",3,1,2000,4,2,9,13,0
"3",3,1,2000,2,3,11,9,13
"4",3,1,2000,5,4,7,11,9
"5",3,1,2000,3,5,11,7,11
"6",3,1,2000,1,6,11,11,7
"7",1,2,1872,2,7,12,11,11
"8",3,1,2000,3,8,10,12,11
"9",3,1,2000,5,9,5,10,12
"10",1,2,698,3,10,11,5,10
"11",3,1,2000,3,11,8,11,5
"12",3,1,2000,3,12,15,8,11
"13",1,2,934,4,13,3,15,8
"14",2,2,321,1,14,8,3,15
"15",1,2,400,4,15,12,8,3
"16",1,2,464,4,16,2,12,8
"17",2,2,425,1,17,8,2,12
"18",1,2,283,2,18,14,8,2
"19",1,1,353,1,19,2,14,8
"20",1,2,276,4,20,14,2,14
