"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,4,1,14,0,0
"2",3,1,2000,3,2,3,14,0
"3",3,1,2000,4,3,12,3,14
"4",3,1,2000,1,4,14,12,3
"5",3,1,2000,5,5,1,14,12
"6",3,1,2000,4,6,9,1,14
"7",3,1,2000,4,7,13,9,1
"8",2,1,1030,5,8,14,13,9
"9",2,2,870,1,9,9,14,13
"10",3,1,2000,2,10,8,9,14
"11",1,1,802,1,11,14,8,9
"12",1,2,1212,3,12,14,14,8
"13",1,2,892,2,13,1,14,14
"14",2,1,822,2,14,2,1,14
"15",1,1,1043,1,15,14,2,1
"16",1,2,845,2,16,3,14,2
"17",1,2,890,4,17,13,3,14
"18",2,1,661,4,18,15,13,3
"19",1,2,677,2,19,6,15,13
"20",1,2,673,4,20,6,6,15
