"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,4,1,6,0,0
"2",1,2,1013,3,2,14,6,0
"3",1,2,750,1,3,14,14,6
"4",1,2,706,3,4,2,14,14
"5",1,1,446,1,5,14,2,14
"6",1,2,834,4,6,12,14,2
"7",1,2,745,2,7,8,12,14
"8",1,2,691,2,8,8,8,12
"9",1,2,548,2,9,7,8,8
"10",1,1,889,1,10,8,7,8
"11",2,2,717,1,11,8,8,7
"12",2,1,1434,5,12,8,8,8
"13",1,2,1532,4,13,15,8,8
"14",1,2,1296,4,14,5,15,8
"15",1,2,1654,4,15,12,5,15
"16",3,1,2000,2,16,8,12,5
"17",1,2,1719,3,17,3,8,12
"18",1,2,1325,2,18,4,3,8
"19",2,1,1228,3,19,15,4,3
"20",1,2,1813,4,20,1,15,4
