"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,5,1,15,0,0
"2",3,1,2000,5,2,14,15,0
"3",3,1,2000,2,3,12,14,15
"4",3,1,2000,1,4,15,12,14
"5",3,1,2000,1,5,14,15,12
"6",3,1,2000,3,6,7,14,15
"7",3,1,2000,4,7,12,7,14
"8",3,1,2000,1,8,14,12,7
"9",3,1,2000,2,9,6,14,12
"10",3,1,2000,2,10,9,6,14
"11",3,1,2000,5,11,2,9,6
"12",3,1,2000,5,12,9,2,9
"13",3,1,2000,4,13,7,9,2
"14",3,1,2000,2,14,3,7,9
"15",3,1,2000,1,15,9,3,7
"16",3,1,2000,5,16,9,9,3
"17",3,1,2000,4,17,13,9,9
"18",3,1,2000,3,18,6,13,9
"19",3,1,2000,3,19,15,6,13
"20",3,1,2000,1,20,13,15,6
