"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,1516,2,1,15,0,0
"2",1,2,805,3,2,11,15,0
"3",1,2,921,4,3,1,11,15
"4",1,2,1226,4,4,1,1,11
"5",3,1,2000,3,5,12,1,1
"6",1,2,1022,2,6,14,12,1
"7",1,2,712,4,7,8,14,12
"8",3,1,2000,4,8,11,8,14
"9",1,2,1234,2,9,3,11,8
"10",1,2,994,4,10,15,3,11
"11",1,2,1079,3,11,2,15,3
"12",2,1,1525,5,12,8,2,15
"13",2,1,1339,3,13,2,8,2
"14",1,2,676,3,14,11,2,8
"15",2,2,1749,1,15,8,11,2
"16",1,2,823,5,16,4,8,11
"17",1,2,735,4,17,4,4,8
"18",1,2,1150,4,18,11,4,4
"19",1,2,641,2,19,10,11,4
"20",1,2,1765,3,20,1,10,11
