"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,1,1,8,0,0
"2",3,1,2000,1,2,9,8,0
"3",3,1,2000,3,3,4,9,8
"4",3,1,2000,4,4,7,4,9
"5",3,1,2000,1,5,9,7,4
"6",3,1,2000,4,6,10,9,7
"7",2,1,888,5,7,9,10,9
"8",3,1,2000,5,8,14,9,10
"9",3,1,2000,5,9,12,14,9
"10",2,1,1337,3,10,10,12,14
"11",2,1,1056,5,11,8,10,12
"12",3,1,2000,2,12,6,8,10
"13",3,1,2000,3,13,6,6,8
"14",3,1,2000,4,14,3,6,6
"15",2,1,620,3,15,8,3,6
"16",3,1,2000,4,16,9,8,3
"17",3,1,2000,4,17,7,9,8
"18",3,1,2000,3,18,5,7,9
"19",1,1,1524,1,19,9,5,7
"20",3,1,2000,3,20,9,9,5
