"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,3,1,15,0,0
"2",1,2,1733,3,2,15,15,0
"3",1,2,1179,2,3,10,15,15
"4",1,2,732,2,4,5,10,15
"5",1,2,914,4,5,1,5,10
"6",1,2,641,2,6,2,1,5
"7",1,2,470,4,7,4,2,1
"8",1,2,498,3,8,11,4,2
"9",1,2,651,2,9,13,11,4
"10",1,2,510,5,10,3,13,11
"11",1,2,455,5,11,4,3,13
"12",1,1,598,1,12,13,4,3
"13",1,2,554,3,13,9,13,4
"14",1,2,732,4,14,9,9,13
"15",1,2,769,2,15,15,9,9
"16",1,2,944,4,16,14,15,9
"17",1,2,499,4,17,5,14,15
"18",1,2,722,5,18,6,5,14
"19",1,2,1002,4,19,2,6,5
"20",1,2,645,2,20,8,2,6
