"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,1,1,11,0,0
"2",1,2,1810,5,2,8,11,0
"3",1,2,1456,5,3,11,8,11
"4",1,2,1022,3,4,13,11,8
"5",2,1,962,4,5,11,13,11
"6",2,1,1007,4,6,8,11,13
"7",1,2,977,5,7,9,8,11
"8",1,2,827,3,8,14,9,8
"9",2,1,1560,3,9,11,14,9
"10",1,2,1691,5,10,5,11,14
"11",2,2,909,1,11,14,5,11
"12",1,2,1508,5,12,14,14,5
"13",1,2,1098,2,13,2,14,14
"14",3,1,2000,4,14,11,2,14
"15",3,1,2000,4,15,12,11,2
"16",2,1,940,3,16,11,12,11
"17",1,2,882,4,17,9,11,12
"18",1,2,754,5,18,10,9,11
"19",1,2,932,5,19,1,10,9
"20",2,2,1468,1,20,9,1,10
