"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,1762,1,1,12,0,0
"2",1,2,810,4,2,4,12,0
"3",1,2,966,1,3,13,4,12
"4",1,1,658,1,4,12,13,4
"5",1,2,1363,3,5,9,12,13
"6",3,1,2000,3,6,8,9,12
"7",1,2,1009,4,7,8,8,9
"8",1,1,1163,1,8,9,8,8
"9",1,2,1100,3,9,1,9,8
"10",1,2,1137,3,10,12,1,9
"11",1,2,1008,4,11,12,12,1
"12",1,2,1516,3,12,8,12,12
"13",1,2,1035,3,13,10,8,12
"14",1,2,1229,5,14,13,10,8
"15",1,2,706,3,15,5,13,10
"16",1,2,1298,3,16,9,5,13
"17",1,2,887,5,17,1,9,5
"18",2,2,667,1,18,5,1,9
"19",1,2,1362,5,19,7,5,1
"20",1,1,1099,1,20,1,7,5
