"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,3,1,3,0,0
"2",3,1,2000,2,2,13,3,0
"3",3,1,2000,1,3,3,13,3
"4",3,1,2000,3,4,1,3,13
"5",3,1,2000,5,5,8,1,3
"6",3,1,2000,5,6,12,8,1
"7",1,2,807,5,7,8,12,8
"8",1,2,750,2,8,15,8,12
"9",1,2,445,2,9,14,15,8
"10",1,2,550,5,10,9,14,15
"11",2,2,636,1,11,15,9,14
"12",1,2,593,2,12,8,15,9
"13",1,2,678,5,13,7,8,15
"14",1,2,760,3,14,4,7,8
"15",1,2,642,2,15,2,4,7
"16",2,1,1708,2,16,9,2,4
"17",2,1,771,5,17,13,9,2
"18",1,2,389,4,18,7,13,9
"19",1,2,993,4,19,8,7,13
"20",1,2,863,4,20,2,8,7
