"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,5,1,11,0,0
"2",3,1,2000,3,2,1,11,0
"3",3,1,2000,1,3,14,1,11
"4",3,1,2000,3,4,13,14,1
"5",3,1,2000,4,5,11,13,14
"6",1,2,1048,3,6,11,11,13
"7",2,1,727,3,7,14,11,11
"8",2,2,656,1,8,11,14,11
"9",1,2,809,2,9,8,11,14
"10",1,2,750,2,10,3,8,11
"11",1,2,683,4,11,12,3,8
"12",1,2,789,2,12,7,12,3
"13",1,2,885,4,13,6,7,12
"14",1,2,883,3,14,2,6,7
"15",1,2,938,4,15,4,2,6
"16",1,2,773,2,16,9,4,2
"17",1,1,685,1,17,2,9,4
"18",1,2,972,4,18,12,2,9
"19",1,2,936,5,19,12,12,2
"20",2,1,927,5,20,11,12,12
