"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,1,1,12,0,0
"2",1,2,1160,1,2,13,12,0
"3",1,2,946,1,3,14,13,12
"4",1,2,914,4,4,15,14,13
"5",1,2,799,5,5,8,15,14
"6",1,2,764,2,6,2,8,15
"7",1,2,851,4,7,1,2,8
"8",1,2,823,3,8,11,1,2
"9",2,1,598,3,9,12,11,1
"10",1,2,738,5,10,14,12,11
"11",1,1,1221,1,11,11,14,12
"12",1,2,1085,4,12,11,11,14
"13",2,1,979,3,13,1,11,11
"14",1,2,714,3,14,7,1,11
"15",1,2,1128,3,15,4,7,1
"16",1,1,883,1,16,1,4,7
"17",2,2,777,1,17,7,1,4
"18",1,2,1144,2,18,15,7,1
"19",1,1,1597,1,19,1,15,7
"20",1,2,967,2,20,12,1,15
