"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,1,1,7,0,0
"2",3,1,2000,2,2,5,7,0
"3",3,1,2000,1,3,7,5,7
"4",3,1,2000,4,4,11,7,5
"5",3,1,2000,4,5,9,11,7
"6",3,1,2000,3,6,10,9,11
"7",2,2,757,1,7,11,10,9
"8",1,2,1852,3,8,12,11,10
"9",3,1,2000,1,9,10,12,11
"10",3,1,2000,1,10,11,10,12
"11",2,2,1336,1,11,12,11,10
"12",2,1,702,3,12,1,12,11
"13",2,1,760,2,13,10,1,12
"14",1,2,585,5,14,9,10,1
"15",1,2,523,5,15,4,9,10
"16",2,1,812,3,16,7,4,9
"17",2,2,1741,1,17,9,7,4
"18",3,1,2000,1,18,4,9,7
"19",2,1,464,4,19,1,4,9
"20",2,2,421,1,20,9,1,4
