"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,1,2000,3,1,1,0,0
"2",3,1,2000,1,2,10,1,0
"3",1,2,700,5,3,15,10,1
"4",1,2,874,2,4,7,15,10
"5",1,2,714,4,5,5,7,15
"6",1,2,939,4,6,5,5,7
"7",1,2,1176,2,7,15,5,5
"8",1,2,813,4,8,6,15,5
"9",1,2,874,3,9,6,6,15
"10",1,2,636,2,10,14,6,6
"11",1,2,548,3,11,3,14,6
"12",1,1,550,1,12,6,3,14
"13",1,2,891,5,13,1,6,3
"14",1,2,794,3,14,1,1,6
"15",1,2,769,3,15,7,1,1
"16",1,1,606,1,16,1,7,1
"17",1,2,635,2,17,3,1,7
"18",1,2,900,3,18,8,3,1
"19",1,2,764,4,19,13,8,3
"20",1,2,739,2,20,1,13,8
