"","id","Letter","CorrAnswer","Stimulus","nback_run.thisRepN","nback_run.thisTrialN","nback_run.thisN","nback_run.thisIndex","fixcross.started","nback_trial.started","trial_resp.keys","trial_resp.corr","currentlevel","trial_resp.rt","Participant","date","expName","psychopyVersion","frameRate","X"
"25","C02N10_t1_nback.csv","L","left","Distractor",0,24,24,24,168.795427415808,170.795824247952,"left",1,1,0.393968664696331,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"26","C02N10_t1_nback.csv","W","left","Pretarget",0,25,25,25,172.295421160168,174.295155856867,"left",1,1,0.430752470095285,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"27","C02N10_t1_nback.csv","W","right","Target",0,26,26,26,175.796062924682,177.795841892065,"right",1,1,0.386043570693801,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"28","C02N10_t1_nback.csv","V","left","Distractor",0,27,27,27,179.296280909679,181.297384147952,"left",1,1,0.340362320258464,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"29","C02N10_t1_nback.csv","W","left","Lure",0,28,28,28,182.796493761844,184.796026994852,"left",1,1,0.441757263840373,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"30","C02N10_t1_nback.csv","R","left","Pretarget",0,29,29,29,186.295895305607,188.298945170758,"left",1,1,0.538845760616823,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"31","C02N10_t1_nback.csv","R","right","Target",0,30,30,30,189.795902202852,191.795439285484,"right",1,1,0.450327490779273,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"32","C02N10_t1_nback.csv","G","left","Distractor",0,31,31,31,193.295436879469,195.297235295797,"left",1,1,0.404530109999541,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"33","C02N10_t1_nback.csv","R","left","Lure",0,32,32,32,196.795438002276,198.796609892188,"left",1,1,0.473275424285021,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"34","C02N10_t1_nback.csv","S","left","Distractor",0,33,33,33,200.295614603808,202.295254343098,"left",1,1,0.366814374626301,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"35","C02N10_t1_nback.csv","R","left","Lure",0,34,34,34,203.796291014944,205.797222944918,"left",1,1,0.400479342432845,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
"36","C02N10_t1_nback.csv","P","left","Pretarget",0,35,35,35,207.295305671428,209.29547152609,"left",1,1,0.454242559076192,"C02N10","2021_Oct_01_1339","t1_Paradigm","2021.1.4",60.0129567845193,NA
