"","id","time...1","b1.Rsp","b1.CRsp","b1.RT","time...5","b2.Rsp","b2.CRsp","b2.RT","time...9","b3.Rsp","b3.CRsp","b3.RT","time...13","b4.Rsp","b4.CRsp","b4.RT","time...17","b5.Rsp","b5.CRsp","b5.RT","time...21","b6.Rsp","b6.CRsp","b6.RT"
"193","003.csv","2019_5_25_13_18_42.742",1,1,415,"2019_5_25_13_25_58.728",1,1,709,"2019_5_25_13_33_18.515",0,0,0,"2019_5_25_13_40_30.5",1,1,1113,"2019_5_25_13_47_45.369",0,0,0,"2019_5_25_13_54_55.153",1,1,387
"194","003.csv","2019_5_25_13_18_45.776",1,0,613,"2019_5_25_13_26_1.762",1,1,811,"2019_5_25_13_33_21.55",0,1,0,"2019_5_25_13_40_33.534",0,0,0,"2019_5_25_13_47_48.403",0,0,0,"2019_5_25_13_54_58.187",1,0,305
"195","003.csv","2019_5_25_13_18_48.811",1,0,595,"2019_5_25_13_26_4.797",0,0,0,"2019_5_25_13_33_24.584",0,0,0,"2019_5_25_13_40_36.568",1,1,1092,"2019_5_25_13_47_51.438",1,1,1255,"2019_5_25_13_55_1.221",1,1,327
"196","003.csv","2019_5_25_13_18_51.845",1,1,616,"2019_5_25_13_26_7.831",0,0,0,"2019_5_25_13_33_27.618",0,1,0,"2019_5_25_13_40_39.603",0,0,0,"2019_5_25_13_47_54.472",0,0,0,"2019_5_25_13_55_4.256",1,0,309
"197","003.csv","2019_5_25_13_18_54.879",1,0,582,"2019_5_25_13_26_10.865",0,0,0,"2019_5_25_13_33_30.652",0,0,0,"2019_5_25_13_40_42.637",0,0,0,"2019_5_25_13_47_57.506",1,0,1042,"2019_5_25_13_55_7.29",1,1,410
"198","003.csv","2019_5_25_13_18_57.914",1,0,324,"2019_5_25_13_26_13.9",0,0,0,"2019_5_25_13_33_33.687",0,0,0,"2019_5_25_13_40_45.671",0,0,0,"2019_5_25_13_48_0.54",0,0,0,"2019_5_25_13_55_10.324",1,0,312
"199","003.csv","2019_5_25_13_19_0.948",1,0,314,"2019_5_25_13_26_16.934",0,0,0,"2019_5_25_13_33_36.721",0,0,0,"2019_5_25_13_40_48.706",0,0,0,"2019_5_25_13_48_3.575",0,1,0,"2019_5_25_13_55_13.359",1,0,334
"200","003.csv","2019_5_25_13_19_3.982",1,1,279,"2019_5_25_13_26_19.968",0,0,0,"2019_5_25_13_33_39.755",0,0,0,"2019_5_25_13_40_51.74",0,0,0,"2019_5_25_13_48_6.609",0,0,0,"2019_5_25_13_55_16.393",1,1,299
"201","003.csv","2019_5_25_13_19_7.016",1,0,325,"2019_5_25_13_26_23.002",0,0,0,"2019_5_25_13_33_42.79",0,0,0,"2019_5_25_13_40_54.774",0,0,0,"2019_5_25_13_48_9.643",1,1,1121,"2019_5_25_13_55_19.427",1,0,361
"202","003.csv","2019_5_25_13_8_59.477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","004.csv","2019_5_26_14_50_16.554",1,0,845,"2019_5_26_14_57_38.375",0,0,0,"2019_5_26_15_4_52.978",0,0,0,"2019_5_26_15_12_4.662",0,0,0,"2019_5_26_15_19_31.352",0,0,0,"2019_5_26_15_26_49.238",1,0,568
"204","004.csv","2019_5_26_14_50_19.589",1,0,498,"2019_5_26_14_57_41.41",0,0,0,"2019_5_26_15_4_56.012",0,0,0,"2019_5_26_15_12_7.696",0,0,0,"2019_5_26_15_19_34.386",0,0,0,"2019_5_26_15_26_52.272",1,1,613
